Intensity_economia,Polarization_economia,Subjectivity_economia,Intensity_gimnasio,Polarization_gimnasio,gimnasio,sanitas,adeslas,decathlon,IBEX35_close,crecimiento,date
0.42200000000000004,0.24100000000000002,0.115,0.502,0.38299999999999995,0.667,0.667,0.5,0.013999999999999999,0.7390000000000001,0.5,2014-01-13
0.42200000000000004,0.24100000000000002,0.115,0.483,0.37799999999999995,0.667,0.667,0.5,0.013999999999999999,0.742,0.5,2014-01-14
0.447,0.282,0.091,0.48,0.37,0.667,0.667,0.5,0.013999999999999999,0.767,0.5,2014-01-15
0.409,0.28300000000000003,0.05,0.488,0.363,0.667,0.667,0.5,0.013999999999999999,0.755,0.5,2014-01-16
0.425,0.26,0.07400000000000001,0.501,0.381,0.667,0.667,0.5,0.013999999999999999,0.757,0.5,2014-01-17
0.466,0.27899999999999997,0.013000000000000001,0.509,0.405,0.667,0.667,0.5,0.013999999999999999,0.755,0.5,2014-01-18
0.42,0.243,0.10800000000000001,0.51,0.369,0.667,0.667,0.5,0.013999999999999999,0.755,0.5,2014-01-19
0.425,0.263,0.067,0.47600000000000003,0.36700000000000005,0.667,0.667,0.5,0.013999999999999999,0.755,0.5,2014-01-20
0.42200000000000004,0.253,0.08800000000000001,0.49200000000000005,0.382,0.667,0.667,0.5,0.013999999999999999,0.738,0.5,2014-01-21
0.395,0.24600000000000002,0.049,0.51,0.39899999999999997,0.667,0.667,0.5,0.013999999999999999,0.7240000000000001,0.5,2014-01-22
0.435,0.265,0.05,0.531,0.382,0.667,0.667,0.5,0.013999999999999999,0.718,0.5,2014-01-23
0.45299999999999996,0.27699999999999997,0.081,0.512,0.38,0.667,0.667,0.5,0.013999999999999999,0.653,0.5,2014-01-24
0.431,0.28800000000000003,0.099,0.495,0.366,0.667,0.667,0.5,0.013999999999999999,0.634,0.5,2014-01-25
0.384,0.275,0.057999999999999996,0.465,0.35100000000000003,0.667,0.667,0.5,0.013999999999999999,0.634,0.5,2014-01-26
0.451,0.275,0.068,0.473,0.386,0.667,0.667,0.5,0.013999999999999999,0.634,0.5,2014-01-27
0.409,0.251,0.067,0.513,0.389,0.667,0.667,0.5,0.013999999999999999,0.655,0.5,2014-01-28
